材	〔木撇ᵁ¦wu〕
蔡	〔艹八¦zf〕
侧	〔亻刂¦xi〕
刺	〔横ᴰ刂¦di〕
瓷	〔冫捺ᴴ¦fh〕
祠	〔礻口¦ho〕
泚	〔氵匕¦ka〕
糍	〔米厶¦lp〕
疵	〔疒匕¦ma〕
赐	〔贝勿¦mi〕
磁	〔石厶¦tp〕
伺	〔亻口¦xo〕
茈	〔艹匕¦za〕
茨	〔艹人¦ze〕
莿	〔艹刂¦zi〕
灿	〔火山¦tp〕
蚕	〔二虫¦uf〕
䅟	〔撇ᵁ撇ᵁ¦uu〕
囱	〔撇ᵁ夂¦uj〕
错	〔钅日¦dv〕
撮	〔扌又¦jl〕
搓	〔扌工¦jp〕
蹴	〔足捺ᴴ¦gh〕
醋	〔西日¦pv〕
粗	〔米三¦lu〕
翠	〔习十¦ds〕
毳	〔撇ᵁ折ᴿ¦ur〕
萃	〔艹十¦zs〕
邨	〔横ᴰ阝¦db〕
茓	〔艹八¦zf〕
粹	〔米十¦ls〕
惭	〔忄竖ᵖ¦np〕
挫	〔扌土¦jg〕
睬	〔目木¦sw〕
撺	〔扌竖ᵖ¦jp〕
兹	〔丷厶¦fp〕
差	〔丷工¦fp〕
粲	〔竖ᵖ米¦pl〕
鹚	〔丷鸟¦fc〕
爨	〔撇ᵁ火¦ut〕
惨	〔忄撇ᵁ¦nu〕
黪	〔囗撇ᵁ¦nu〕
佽	〔亻人¦xe〕
参	〔厶撇ᵁ¦pu〕
岑	〔山折ᴿ¦pr〕
次	〔冫人¦fe〕
雌	〔止龶¦ra〕
此	〔止匕¦ra〕
漼	〔氵龶¦ka〕
菜	〔艹木¦zw〕
藏	〔艹捺ᴴ¦zh〕
鸧	〔全鸟¦ec〕
嵯	〔山工¦pp〕
鹾	〔竖ᵖ工¦pp〕
艚	〔舟日¦tv〕
层	〔尸厶¦qp〕
村	〔木寸¦wk〕
残	〔歹戋¦fa〕
操	〔扌木¦jw〕
猜	〔犭底¦bl〕
苍	〔艹㔾¦zt〕
餐	〔竖ᵖ捺ᴴ¦ph〕
词	〔讠口¦co〕
采	〔爫木¦hw〕
脆	〔月㔾¦lt〕
沧	〔氵㔾¦kt〕
仓	〔全㔾¦et〕
槽	〔木日¦wv〕
寸	〔寸寸¦kk〕
崔	〔山龶¦pa〕
措	〔扌日¦jv〕
舱	〔舟㔾¦tt〕
慈	〔丷心¦fn〕
摧	〔扌龶¦ja〕
裁	〔十衣¦sk〕
嚓	〔口八¦of〕
淬	〔氵十¦ks〕
璨	〔王米¦al〕
璀	〔王龶¦aa〕
簇	〔竹大¦nx〕
磋	〔石工¦tp〕
忖	〔忄寸¦nk〕
呲	〔口匕¦oa〕
猝	〔犭十¦bs〕
嘈	〔口日¦ov〕
噌	〔口日¦ov〕
悴	〔忄十¦ns〕
啐	〔口十¦os〕
篡	〔竹厶¦np〕
漕	〔氵日¦kv〕
涔	〔氵折ᴿ¦kr〕
瘁	〔疒十¦ms〕
攒	〔扌贝¦jm〕
锉	〔钅土¦dg〕
矬	〔卧土¦eg〕
殂	〔歹三¦fu〕
玼	〔王匕¦aa〕
辏	〔车人¦te〕
骖	〔马撇ᵁ¦zu〕
徂	〔彳三¦hu〕
伧	〔亻㔾¦xt〕
痤	〔疒土¦mg〕
皴	〔厶又¦pl〕
蔟	〔艹大¦zx〕
厝	〔厂日¦rv〕
脞	〔月土¦lg〕
偲	〔亻心¦xn〕
催	〔亻龶¦xa〕
凑	〔冫人¦fe〕
卒	〔亠十¦is〕
存	〔左子¦sa〕
嶒	〔山日¦pv〕
曾	〔丷日¦fv〕
棤	〔木日¦wv〕
瑳	〔王工¦ap〕
窜	〔宀竖ᵖ¦ip〕
腠	〔月人¦le〕
莝	〔艹土¦zg〕
螬	〔虫日¦fv〕
镩	〔钅竖ᵖ¦dp〕
葱	〔艹心¦zn〕
骢	〔马心¦zn〕
璁	〔王心¦an〕
苁	〔艹人¦ze〕
从	〔人人¦ee〕
聪	〔横ᴰ心¦dn〕
丛	〔人横ᴰ¦ed〕
琮	〔王八¦af〕
淙	〔氵八¦kf〕
熜	〔火心¦tn〕
枞	〔木人¦we〕
悰	〔忄八¦nf〕
促	〔亻足¦xg〕
蹭	〔足日¦gv〕
蹙	〔厂足¦rg〕
蹿	〔足竖ᵖ¦gp〕
蹉	〔足工¦gp〕
跐	〔足匕¦ga〕
匆	〔勿捺ᴴ¦ih〕
恻	〔忄刂¦ni〕
策	〔竹八¦nf〕
册	〔册册¦jj〕
厕	〔厂刂¦ri〕
测	〔氵刂¦ki〕
麤	〔广匕¦ra〕
